NAME | TYPE | COLLECTIONS | LOCATION_X | LOCATION_Y | CENTER_X | CENTER_Y | MIN_X | MAX_X | MIN_Y | MAX_Y
LBL_AGRICULTURE | FONT | LABELS | 280.000 | -245.000 | n/a | n/a | n/a | n/a | n/a | n/a
LBL_DAM | FONT | LABELS | 0.000 | 230.000 | n/a | n/a | n/a | n/a | n/a | n/a
LBL_FOREST | FONT | LABELS | -330.000 | 30.000 | n/a | n/a | n/a | n/a | n/a | n/a
LBL_HIGHRISE | FONT | LABELS | 214.875 | -106.377 | n/a | n/a | n/a | n/a | n/a | n/a
LBL_HOME | FONT | LABELS | 0.000 | -330.000 | n/a | n/a | n/a | n/a | n/a | n/a
LBL_INDUSTRIAL | FONT | LABELS | -220.000 | -125.000 | n/a | n/a | n/a | n/a | n/a | n/a
LBL_LANDSLIDE | FONT | LABELS | -275.000 | 220.000 | n/a | n/a | n/a | n/a | n/a | n/a
LBL_LOGISTICS | FONT | LABELS | 170.000 | -340.000 | n/a | n/a | n/a | n/a | n/a | n/a
LBL_POWER | FONT | LABELS | 250.000 | 40.000 | n/a | n/a | n/a | n/a | n/a | n/a
LBL_ROADWORK | FONT | LABELS | 235.000 | 20.000 | n/a | n/a | n/a | n/a | n/a | n/a
LBL_TELECOM | FONT | LABELS | 260.000 | 230.000 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_AGRICULTURE | EMPTY | TARGETS | 280.000 | -120.000 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_BRIDGE | EMPTY | TARGETS | -20.000 | 55.000 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_DAM | EMPTY | TARGETS | 0.000 | 230.000 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_FOREST | EMPTY | TARGETS | -300.000 | 40.000 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_HIGHRISE | EMPTY | TARGETS | 204.875 | -96.377 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_HOME | EMPTY | TARGETS | 0.000 | -280.000 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_INDUSTRIAL | EMPTY | TARGETS | -220.000 | -110.000 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_LANDSLIDE | EMPTY | TARGETS | -260.000 | 220.000 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_LOGISTICS | EMPTY | TARGETS | 170.000 | -235.000 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_POWER | EMPTY | TARGETS | 250.000 | 45.000 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_ROADWORK | EMPTY | TARGETS | 230.000 | 20.000 | n/a | n/a | n/a | n/a | n/a | n/a
TARGET_TELECOM | EMPTY | TARGETS | 260.000 | 230.000 | n/a | n/a | n/a | n/a | n/a | n/a
